coverage,sequence_id,0,1,2,3,4,5,6,7,8,9
0.75,84,26,121,758,2933,12429,51134,0,0,0,0
0.75,85,2,22,115,838,4291,21271,90024,0,0,0
0.75,86,6,32,179,1088,4476,17378,62197,0,0,0
0.75,87,20,73,274,918,3693,14854,57365,0,0,0
0.75,88,4,11,17,136,713,3813,17126,67493,0,0
0.75,89,6,30,97,377,1569,6057,23687,87316,0,0
0.75,90,15,148,1117,6876,35368,163419,0,0,0,0
0.75,91,5,21,48,126,409,1157,3649,11183,33516,103765
0.75,92,30,140,890,3937,17426,74550,0,0,0,0
0.75,93,5,19,95,456,2080,8267,30396,111967,0,0
0.75,94,4,12,29,74,350,1464,6147,22240,77393,0
0.75,95,6,47,266,1476,6299,28017,116308,0,0,0
0.75,96,6,33,95,435,1847,7245,28685,106342,0,0
0.75,97,1,1,1,1,1,13,67,327,1187,4319
0.75,98,20,100,646,2526,10409,40659,148610,0,0,0
0.75,99,2,2,1,1,1,1,1,3,3,3
0.5,0,2,28,107,361,990,2581,7637,21524,55516,0
0.5,1,10,65,314,1234,4601,15261,48195,134856,0,0
0.5,2,5,14,48,168,542,1468,3957,9658,22179,49459
0.5,3,8,30,150,311,321,303,235,231,254,364
0.5,4,2,14,72,255,737,1895,5105,13627,34835,80681
0.5,5,15,35,80,208,697,2529,8352,22180,55245,0
0.5,6,1,1,17,83,408,1144,3616,11379,32813,83346
0.5,7,18,74,311,931,2916,9891,28856,79993,0,0
0.5,8,6,29,198,662,1813,4974,13734,36135,89183,0
0.5,9,24,90,324,838,2176,6242,17356,44910,104965,0
0.5,10,2,29,105,287,791,2031,5864,15853,40409,93608
0.5,11,7,26,195,675,2015,5429,14043,35962,86436,0
0.5,12,5,8,34,210,803,2503,5787,14417,38686,96970
0.5,13,3,11,51,349,1307,3662,9653,23536,55612,0
0.5,14,7,54,217,844,2201,5778,16075,45691,115851,0
0.5,15,5,16,40,149,519,1715,4617,11338,26758,64982
0.5,16,11,64,355,1479,4678,13699,37519,98283,0,0
0.5,17,3,3,21,76,456,1573,4275,10785,25328,58997
0.5,18,23,126,449,1467,3902,9389,21417,46778,90612,0
0.5,19,6,23,43,96,375,1518,5011,13973,36511,88097
0.5,20,17,73,259,708,1937,5530,14949,38091,88222,0
0.5,21,7,23,188,661,1940,5286,12897,31020,69625,0
0.5,22,5,32,148,830,2708,7860,20907,55063,0,0
0.5,23,8,29,207,680,2003,5193,12713,29977,66841,0
0.5,24,3,16,28,69,231,960,3615,11357,31835,86237
0.5,25,11,43,259,814,2173,5628,13909,33641,76979,0
0.5,26,9,14,34,114,400,1782,5176,15333,44284,124879
0.5,27,1,18,79,349,1032,3196,10322,29920,79376,0
0.5,28,9,23,44,90,143,295,950,2922,7366,16418
0.5,29,10,53,247,1108,3651,10814,30845,85222,0,0
0.5,30,2,10,18,70,263,1106,3462,10742,26463,59502
0.5,31,23,117,625,1971,5589,17412,50345,0,0,0
0.5,32,15,58,231,865,2539,7479,21981,62154,0,0
0.5,33,1,1,2,20,87,303,824,2205,6274,17305
0.5,34,4,31,101,542,1895,5993,16901,43184,105731,0
0.5,35,1,1,1,5,21,174,684,1832,4420,9642
0.5,36,8,46,142,612,1559,4844,14949,44868,117851,0
0.5,37,4,11,20,93,342,1222,3650,9864,24926,60569
0.5,38,3,22,118,574,1756,5068,14844,41856,110058,0
0.5,39,1,4,16,58,338,1176,3526,8413,18217,38674
0.5,40,1,1,6,33,194,690,1937,4984,12725,30681
0.5,41,1,1,1,1,1,1,9,31,92,225
0.5,42,2,4,41,178,923,3227,10501,31668,96102,0
0.5,43,1,1,1,14,66,277,599,1449,4093,9621
0.5,44,11,47,143,313,598,1136,2981,6898,14766,31346
0.5,45,5,21,47,181,543,1814,5426,14445,37620,94073
0.5,46,3,3,44,170,678,1502,3931,11305,33897,89429
0.5,47,2,5,19,54,241,845,2413,5127,11552,28029
0.5,48,3,19,91,476,1942,6335,17440,45064,110764,0
0.5,49,4,7,11,64,199,604,1924,4515,10751,27472
0.5,50,2,5,11,42,165,571,1664,4462,11602,29354
0.5,51,21,82,274,746,1858,5400,14811,37686,90019,0
0.5,52,1,16,59,210,485,1301,3623,9525,23090,52909
0.5,53,9,34,160,323,337,338,265,259,281,407
0.5,54,9,39,232,927,3318,10608,31215,89902,0,0
0.5,55,31,147,526,1493,4364,13044,34883,87981,0,0
